location,total_sqft,size,area_type,balcony,bath,price
others,1350.0,3,Super built-up  Area,0.0,3.0,75.0
others,470.0,1,Super built-up  Area,1.0,2.0,10.0
Vijayanagar,920.0,2,Super built-up  Area,2.0,2.0,60.0
others,2300.0,6,Built-up  Area,0.0,7.0,160.0
Sarjapur,1124.0,2,Super built-up  Area,1.0,2.0,30.35
Yelahanka New Town,2095.0,4,Super built-up  Area,1.0,3.0,109.0
Begur Road,1100.0,2,Super built-up  Area,1.0,2.0,71.42
Vijayanagar,1019.0,2,Super built-up  Area,1.0,2.0,58.0
Harlur,1756.0,3,Super built-up  Area,2.0,3.0,128.0
Bommasandra,1280.0,3,Super built-up  Area,1.0,3.0,50.0
Kenchenahalli,1200.0,4,Plot  Area,2.0,3.0,125.0
Indira Nagar,1700.0,3,Super built-up  Area,2.0,3.0,150.0
Whitefield,2134.0,3,Super built-up  Area,2.0,4.0,118.0
Hosa Road,1369.1,2,Super built-up  Area,1.0,2.0,98.0
Subramanyapura,600.0,3,Plot  Area,1.0,3.0,69.0
others,2515.0,3,Super built-up  Area,3.0,4.0,155.0
Thigalarapalya,2215.0,3,Super built-up  Area,2.0,4.0,154.0
others,1440.0,3,Super built-up  Area,2.0,3.0,72.0
Hennur Road,1186.0,3,Super built-up  Area,2.0,2.0,55.33
Uttarahalli,1350.0,3,Super built-up  Area,2.0,2.0,47.24
Hebbal,1800.0,3,Super built-up  Area,2.0,3.0,140.0
Kudlu,1600.0,3,Built-up  Area,3.0,3.0,79.0
GM Palaya,1000.0,2,Built-up  Area,1.0,2.0,35.0
Cunningham Road,2275.0,3,Super built-up  Area,3.0,3.0,285.0
Binny Pete,1740.0,3,Super built-up  Area,1.0,3.0,150.0
Malleshwaram,900.0,2,Built-up  Area,1.0,2.0,90.0
Benson Town,1567.0,2,Built-up  Area,0.0,3.0,140.0
Kambipura,1082.0,3,Super built-up  Area,1.0,2.0,45.5
Nagarbhavi,1050.0,2,Built-up  Area,1.0,2.0,80.0
others,1200.0,2,Super built-up  Area,1.0,2.0,56.0
Begur,3500.0,3,Built-up  Area,2.0,4.0,185.0
Dasarahalli,1220.0,2,Super built-up  Area,2.0,2.0,52.0
Binny Pete,1970.0,3,Super built-up  Area,2.0,3.0,164.0
others,2665.0,3,Super built-up  Area,1.0,3.0,350.0
Kanakapura,2130.0,4,Built-up  Area,0.0,4.0,120.0
Harlur,1749.0,3,Super built-up  Area,2.0,3.0,120.0
Subramanyapura,1260.0,2,Super built-up  Area,1.0,2.0,108.0
6th Phase JP Nagar,1170.0,2,Super built-up  Area,2.0,2.0,120.0
others,1670.0,3,Super built-up  Area,2.0,3.0,75.0
Hennur Road,2264.0,3,Super built-up  Area,2.0,3.0,168.0
Begur,1100.0,2,Super built-up  Area,2.0,2.0,55.0
Chandapura,674.0,2,Super built-up  Area,1.0,1.0,19.9
Koramangala,1320.0,2,Super built-up  Area,1.0,2.0,160.0
Vishveshwarya Layout,600.0,4,Plot  Area,2.0,4.0,85.0
Electronics City Phase 1,1125.0,2,Super built-up  Area,2.0,2.0,65.0
Nagavara,1125.0,2,Super built-up  Area,2.0,2.0,44.5
others,700.0,2,Super built-up  Area,1.0,2.0,29.0
BTM Layout,1300.0,3,Built-up  Area,1.0,2.0,75.0
JP Nagar,1600.0,3,Super built-up  Area,2.0,3.0,83.0
Magadi Road,1052.0,3,Super built-up  Area,1.0,2.0,60.0
others,1140.0,4,Super built-up  Area,1.0,3.0,145.0
Devarachikkanahalli,1130.0,2,Super built-up  Area,2.0,2.0,36.0
others,1140.0,4,Plot  Area,2.0,3.0,225.0
BTM 2nd Stage,2200.0,3,Super built-up  Area,3.0,3.0,220.0
Electronic City,1500.0,3,Built-up  Area,1.0,2.0,63.0
Old Madras Road,1350.0,3,Super built-up  Area,1.0,3.0,47.25
Gottigere,1230.0,3,Super built-up  Area,2.0,2.0,52.0
Haralur Road,1520.0,3,Super built-up  Area,2.0,2.0,85.0
Kanakpura Road,525.0,1,Super built-up  Area,1.0,1.0,26.25
Hosa Road,1040.0,2,Super built-up  Area,1.0,2.0,61.0
others,1300.0,3,Built-up  Area,1.0,2.0,67.0
Old Airport Road,2690.0,4,Super built-up  Area,3.0,4.0,201.0
Domlur,780.0,1,Super built-up  Area,1.0,1.0,70.0
Panathur,1140.0,2,Super built-up  Area,1.0,2.0,51.2
Chandapura,1225.0,3,Super built-up  Area,1.0,3.0,33.08
Nagavarapalya,646.0,1,Built-up  Area,0.0,1.0,25.84
Cox Town,1600.0,3,Super built-up  Area,1.0,3.0,150.0
Kadugodi,1890.0,3,Super built-up  Area,3.0,4.0,125.0
others,1200.0,6,Plot  Area,2.0,4.0,100.0
Whitefield,1458.0,3,Super built-up  Area,2.0,2.0,62.0
others,1200.0,5,Plot  Area,0.0,6.0,86.0
Green Glen Layout,1970.0,3,Super built-up  Area,2.0,3.0,160.0
Whitefield,1808.0,3,Plot  Area,0.0,4.0,80.0
Balagere,1007.0,2,Built-up  Area,1.0,2.0,67.0
Doddathoguru,1105.0,2,Super built-up  Area,1.0,2.0,50.0
Lakshminarayana Pura,1700.0,3,Super built-up  Area,3.0,3.0,150.0
Raja Rajeshwari Nagar,1170.0,2,Super built-up  Area,3.0,2.0,50.0
Chandapura,1080.0,2,Built-up  Area,3.0,2.0,45.0
Kaggalipura,1150.0,3,Super built-up  Area,1.0,2.0,62.0
Ramamurthy Nagar,1200.0,2,Super built-up  Area,1.0,2.0,57.9
Kudlu Gate,1656.0,3,Super built-up  Area,2.0,3.0,75.0
others,600.0,4,Plot  Area,2.0,4.0,87.0
KR Puram,1040.0,2,Super built-up  Area,2.0,2.0,50.0
Hosur Road,1085.0,2,Super built-up  Area,2.0,2.0,33.7
others,1215.0,3,Super built-up  Area,2.0,2.0,49.75
NRI Layout,2150.0,4,Built-up  Area,2.0,4.0,115.0
Hoodi,1100.0,4,Plot  Area,1.0,4.0,120.0
Panathur,1210.0,2,Super built-up  Area,1.0,2.0,77.0
others,1050.0,2,Built-up  Area,1.0,2.0,55.0
others,600.0,3,Plot  Area,1.0,3.0,70.0
Mysore Road,947.55,2,Super built-up  Area,1.0,2.0,80.0
Malleshpalya,1421.0,2,Built-up  Area,1.0,2.0,90.0
others,1050.0,6,Plot  Area,2.0,4.0,155.0
Old Madras Road,1425.0,3,Super built-up  Area,2.0,2.0,74.31
Budigere,1162.0,2,Super built-up  Area,1.0,2.0,58.0
Whitefield,905.0,1,Super built-up  Area,1.0,1.0,60.0
Sarjapur  Road,914.0,2,Super built-up  Area,1.0,2.0,32.0
others,1258.0,2,Built-up  Area,0.0,2.0,58.0
CV Raman Nagar,1100.0,4,Plot  Area,2.0,4.0,220.0
Hormavu,3500.0,4,Plot  Area,1.0,4.0,289.0
Whitefield,1537.0,3,Super built-up  Area,3.0,2.0,70.0
Chikkalasandra,1230.0,3,Super built-up  Area,2.0,2.0,53.51
others,2400.0,6,Plot  Area,2.0,5.0,300.0
Malleshwaram,2250.0,3,Super built-up  Area,1.0,3.0,200.0
Hosur Road,2000.0,4,Plot  Area,1.0,4.0,69.0
others,3000.0,8,Super built-up  Area,3.0,4.0,130.0
Kumaraswami Layout,2600.0,4,Built-up  Area,0.0,4.0,325.0
Indira Nagar,3200.0,4,Built-up  Area,2.0,3.0,250.0
Anjanapura,950.0,2,Built-up  Area,0.0,2.0,32.0
Yelahanka,1282.0,3,Super built-up  Area,1.0,2.0,48.72
Banashankari Stage III,1304.0,2,Built-up  Area,0.0,2.0,111.0
7th Phase JP Nagar,2100.0,3,Super built-up  Area,2.0,3.0,200.0
Jakkur,1220.0,3,Built-up  Area,2.0,2.0,49.0
7th Phase JP Nagar,1415.0,3,Built-up  Area,1.0,3.0,65.0
Green Glen Layout,1728.0,3,Super built-up  Area,2.0,3.0,125.0
7th Phase JP Nagar,1680.0,3,Super built-up  Area,3.0,3.0,125.0
others,1235.0,2,Super built-up  Area,1.0,2.0,140.0
Yelahanka,3990.0,4,Built-up  Area,1.0,4.0,260.0
Kasavanhalli,1495.0,2,Built-up  Area,2.0,2.0,83.0
Hennur Road,1500.0,5,Plot  Area,1.0,5.0,175.0
Yeshwanthpur,2501.0,3,Super built-up  Area,3.0,3.0,138.0
Kanakpura Road,381.0,1,Carpet  Area,0.0,1.0,28.0
others,3301.8,4,Super built-up  Area,2.0,5.0,570.0
Hennur Road,2002.0,3,Super built-up  Area,2.0,3.0,120.0
others,3200.0,3,Built-up  Area,0.0,3.0,260.0
Banjara Layout,1200.0,2,Plot  Area,2.0,2.0,70.0
Sarjapur  Road,1500.0,4,Plot  Area,0.0,3.0,235.0
others,660.0,1,Built-up  Area,0.0,1.0,95.0
Banashankari Stage III,1200.0,4,Plot  Area,2.0,6.0,170.0
others,1450.0,3,Built-up  Area,2.0,3.0,90.0
Electronic City,1039.0,2,Super built-up  Area,1.0,2.0,50.0
Old Madras Road,1210.0,2,Super built-up  Area,1.0,2.0,80.0
Attibele,995.0,2,Super built-up  Area,1.0,1.0,24.88
Yelahanka,1620.0,3,Built-up  Area,2.0,3.0,90.0
Choodasandra,3204.0,3,Built-up  Area,3.0,4.0,395.0
Hebbal Kempapura,3408.0,3,Built-up  Area,3.0,3.0,260.0
Marathahalli,1314.0,2,Built-up  Area,3.0,2.0,55.0
Bisuvanahalli,945.0,2,Super built-up  Area,1.0,2.0,33.0
others,1374.0,3,Built-up  Area,2.0,3.0,72.0
Kanakpura Road,1603.0,3,Built-up  Area,3.0,3.0,113.0
Kengeri,1230.0,3,Built-up  Area,2.0,2.0,52.0
Basavangudi,670.0,1,Super built-up  Area,1.0,1.0,50.0
Sarjapur  Road,1864.0,4,Super built-up  Area,2.0,3.0,105.0
Hosa Road,2500.0,3,Built-up  Area,2.0,3.0,100.0
Raja Rajeshwari Nagar,1625.0,3,Super built-up  Area,2.0,2.0,54.0
Whitefield,1186.0,2,Super built-up  Area,3.0,2.0,55.0
KR Puram,1500.0,8,Plot  Area,2.0,7.0,382.0
Electronic City,770.0,2,Super built-up  Area,1.0,1.0,39.9
Varthur,1085.0,2,Super built-up  Area,1.0,2.0,45.0
others,3754.0,4,Super built-up  Area,2.0,6.0,480.0
others,1893.0,3,Super built-up  Area,2.0,3.0,115.0
Kundalahalli,1496.0,3,Super built-up  Area,3.0,2.0,78.0
Electronics City Phase 1,1550.0,3,Super built-up  Area,2.0,2.0,82.0
Marathahalli,1200.0,3,Super built-up  Area,1.0,2.0,58.17
Electronic City Phase II,1286.0,2,Super built-up  Area,2.0,2.0,69.0
others,600.0,3,Plot  Area,1.0,4.0,100.0
Hebbal,1860.0,3,Super built-up  Area,2.0,3.0,95.0
others,425.0,1,Built-up  Area,1.0,1.0,750.0
Haralur Road,1243.0,2,Super built-up  Area,2.0,2.0,45.0
Brookefield,1200.0,2,Super built-up  Area,2.0,2.0,75.0
Sarjapur,1044.0,2,Super built-up  Area,2.0,2.0,32.0
7th Phase JP Nagar,1040.0,2,Super built-up  Area,1.0,2.0,41.59
8th Phase JP Nagar,1125.0,2,Super built-up  Area,2.0,2.0,36.94
Cunningham Road,3489.0,3,Super built-up  Area,1.0,3.0,662.0
Subramanyapura,1278.0,3,Super built-up  Area,2.0,2.0,59.0
others,1250.0,2,Super built-up  Area,1.0,2.0,43.0
Vijayanagar,2400.0,5,Plot  Area,3.0,6.0,125.0
Lakshminarayana Pura,1210.0,2,Super built-up  Area,2.0,2.0,75.0
8th Phase JP Nagar,1200.0,4,Super built-up  Area,2.0,3.0,110.0
Sarjapur  Road,1157.0,3,Super built-up  Area,1.0,2.0,57.84
Raja Rajeshwari Nagar,1185.0,2,Super built-up  Area,1.0,2.0,51.15
Kalena Agrahara,1450.0,3,Super built-up  Area,3.0,3.0,100.0
Old Madras Road,1859.0,3,Super built-up  Area,2.0,3.0,121.0
Rajaji Nagar,1763.0,2,Super built-up  Area,2.0,3.0,262.0
Attibele,900.0,2,Super built-up  Area,1.0,1.0,25.0
Ramamurthy Nagar,1305.0,3,Super built-up  Area,1.0,3.0,60.0
others,1200.0,3,Built-up  Area,2.0,2.0,100.0
Thanisandra,1165.5,1,Super built-up  Area,0.0,1.0,35.285
Sarjapur  Road,1150.0,2,Super built-up  Area,0.0,2.0,36.8
Whitefield,1806.0,3,Built-up  Area,3.0,3.0,85.0
Kudlu,1027.0,2,Super built-up  Area,2.0,2.0,42.0
Uttarahalli,1002.0,2,Super built-up  Area,1.0,2.0,40.08
Electronic City Phase II,1220.0,3,Super built-up  Area,1.0,2.0,36.21
Whitefield,1109.0,2,Super built-up  Area,1.0,2.0,35.22
Uttarahalli,1002.0,2,Built-up  Area,1.0,2.0,40.08
others,1308.0,2,Super built-up  Area,1.0,2.0,89.04
Hennur Road,1232.0,2,Super built-up  Area,1.0,2.0,69.6
Kalyan nagar,1250.0,2,Built-up  Area,2.0,2.0,65.0
others,900.0,6,Plot  Area,3.0,6.0,170.0
KR Puram,960.0,4,Plot  Area,2.0,4.0,80.0
Raja Rajeshwari Nagar,1255.0,2,Super built-up  Area,1.0,2.0,53.87
Akshaya Nagar,1434.0,3,Built-up  Area,3.0,3.0,84.0
Doddathoguru,925.0,2,Built-up  Area,2.0,2.0,30.0
Jakkur,1858.0,3,Super built-up  Area,1.0,3.0,123.0
others,1205.0,2,Built-up  Area,1.0,2.0,70.0
others,1500.0,3,Plot  Area,2.0,3.0,90.0
others,1200.0,3,Plot  Area,2.0,3.0,200.0
Mysore Road,1020.0,2,Super built-up  Area,2.0,2.0,48.95
Thanisandra,965.0,2,Super built-up  Area,1.0,2.0,56.0
7th Phase JP Nagar,1800.0,5,Plot  Area,3.0,6.0,270.0
others,1200.0,6,Plot  Area,2.0,4.0,90.0
Battarahalli,1636.0,2,Super built-up  Area,2.0,2.0,82.89
Kundalahalli,1724.0,3,Super built-up  Area,1.0,3.0,125.0
Whitefield,1216.0,2,Super built-up  Area,1.0,2.0,67.0
Yelahanka,654.0,1,Super built-up  Area,1.0,1.0,36.25
Chikkabanavar,2460.0,4,Built-up  Area,2.0,7.0,80.0
others,1190.0,2,Super built-up  Area,2.0,2.0,41.0
others,1200.0,7,Plot  Area,2.0,5.0,180.0
Budigere,1636.0,3,Super built-up  Area,2.0,3.0,92.0
Hennur Road,1195.0,2,Super built-up  Area,2.0,2.0,73.0
Nagavara,2400.0,3,Super built-up  Area,3.0,3.0,251.0
others,1250.0,2,Super built-up  Area,1.0,2.0,67.0
Thanisandra,1546.0,3,Super built-up  Area,1.0,3.0,95.0
Sarjapur  Road,5039.0,4,Built-up  Area,0.0,6.0,142.0
Indira Nagar,1440.0,3,Plot  Area,1.0,3.0,275.0
others,2260.0,2,Plot  Area,1.0,3.0,80.0
others,2700.0,4,Plot  Area,2.0,3.0,90.0
Indira Nagar,1475.0,2,Super built-up  Area,2.0,2.0,171.0
JP Nagar,3000.0,4,Built-up  Area,2.0,3.0,150.0
others,375.0,1,Built-up  Area,0.0,1.0,26.0
Balagere,1007.0,2,Super built-up  Area,1.0,2.0,66.0
Hennur Road,1020.0,2,Super built-up  Area,3.0,2.0,47.0
others,1000.0,2,Super built-up  Area,0.0,2.0,150.0
others,800.0,2,Plot  Area,1.0,3.0,59.5
others,1200.0,5,Plot  Area,2.0,3.0,95.0
Marathahalli,1125.0,2,Super built-up  Area,3.0,2.0,55.0
others,909.0,3,Built-up  Area,1.0,2.0,43.0
Whitefield,2850.0,4,Built-up  Area,0.0,5.0,240.0
others,1400.0,2,Super built-up  Area,3.0,2.0,85.0
Kadugodi,1152.0,2,Super built-up  Area,2.0,2.0,61.0
Subramanyapura,958.0,2,Super built-up  Area,1.0,2.0,34.49
Whitefield,1150.0,2,Super built-up  Area,2.0,2.0,55.0
Old Madras Road,2990.0,3,Super built-up  Area,1.0,5.0,173.0
Bellandur,1310.0,2,Super built-up  Area,2.0,2.0,85.0
Hosur Road,1590.0,3,Super built-up  Area,2.0,2.0,126.0
Green Glen Layout,1645.0,3,Super built-up  Area,2.0,3.0,110.0
others,1800.0,3,Built-up  Area,2.0,2.0,100.0
Thanisandra,1795.0,3,Super built-up  Area,2.0,3.0,150.0
8th Phase JP Nagar,1100.0,2,Super built-up  Area,3.0,2.0,35.0
Thanisandra,1087.0,1,Super built-up  Area,0.0,1.0,38.535
others,925.0,2,Super built-up  Area,2.0,2.0,70.0
Basavangudi,1542.14,3,Super built-up  Area,3.0,3.0,120.0
Konanakunte,3746.0,4,Plot  Area,1.0,6.0,375.0
Thanisandra,1430.0,3,Super built-up  Area,2.0,2.0,54.0
Bommanahalli,1020.0,2,Super built-up  Area,2.0,2.0,55.0
others,750.0,4,Plot  Area,1.0,2.0,42.0
Electronic City Phase II,1140.0,2,Super built-up  Area,1.0,2.0,32.92
Anekal,967.0,3,Built-up  Area,1.0,2.0,45.0
Hebbal,2470.0,4,Super built-up  Area,2.0,4.0,203.0
others,850.0,2,Built-up  Area,0.0,1.0,35.5
others,1100.0,2,Super built-up  Area,2.0,2.0,32.0
Thanisandra,1697.0,3,Super built-up  Area,2.0,3.0,110.0
Varthur,1250.0,2,Super built-up  Area,2.0,2.0,47.0
Gottigere,1120.0,2,Super built-up  Area,2.0,2.0,50.0
NRI Layout,1200.0,4,Plot  Area,0.0,4.0,95.0
Hennur Road,5100.0,5,Plot  Area,3.0,6.0,375.0
others,2400.0,4,Plot  Area,2.0,3.0,480.0
Hebbal,1200.0,2,Super built-up  Area,1.0,2.0,52.0
7th Phase JP Nagar,1100.0,2,Super built-up  Area,1.0,2.0,44.0
Devarachikkanahalli,1417.0,3,Super built-up  Area,2.0,2.0,76.0
Thanisandra,1492.0,3,Built-up  Area,1.0,3.0,88.0
Devanahalli,1498.0,3,Super built-up  Area,3.0,3.0,79.15
others,3500.0,4,Built-up  Area,1.0,2.0,350.0
Kundalahalli,1010.0,2,Super built-up  Area,1.0,2.0,48.27
Channasandra,1050.0,2,Super built-up  Area,1.0,2.0,35.0
Hegde Nagar,1847.0,3,Super built-up  Area,2.0,3.0,125.0
others,1200.0,2,Super built-up  Area,2.0,2.0,55.0
Bellandur,982.0,2,Super built-up  Area,2.0,2.0,37.28
Hegde Nagar,2144.6,3,Super built-up  Area,2.0,4.0,145.0
Kengeri,750.0,2,Super built-up  Area,1.0,2.0,36.5
Electronic City,919.0,2,Super built-up  Area,2.0,2.0,35.0
Budigere,1087.0,2,Super built-up  Area,1.0,2.0,54.3
others,1480.0,3,Built-up  Area,2.0,3.0,74.0
Tindlu,1180.0,2,Built-up  Area,2.0,2.0,52.0
others,2100.0,3,Super built-up  Area,2.0,4.0,255.0
Jigani,1221.0,3,Super built-up  Area,2.0,3.0,65.0
Thanisandra,2072.0,3,Built-up  Area,2.0,3.0,122.0
Whitefield,1600.0,3,Built-up  Area,2.0,3.0,69.0
Sahakara Nagar,2200.0,3,Super built-up  Area,2.0,3.0,98.0
Rajaji Nagar,1640.0,3,Super built-up  Area,3.0,3.0,220.0
Kaikondrahalli,1253.0,2,Super built-up  Area,2.0,2.0,81.5
Hennur Road,1061.0,2,Super built-up  Area,1.0,2.0,54.92
Marathahalli,1950.0,3,Super built-up  Area,2.0,3.0,115.0
Marathahalli,1250.0,2,Built-up  Area,2.0,2.0,68.0
Hennur Road,1585.0,3,Super built-up  Area,3.0,2.0,80.0
Kammasandra,1015.0,2,Super built-up  Area,2.0,2.0,37.0
Begur Road,3695.5,4,Super built-up  Area,0.0,6.0,118.0
Marathahalli,1125.0,2,Super built-up  Area,2.0,2.0,56.8
Electronic City Phase II,1116.0,2,Super built-up  Area,2.0,2.0,40.0
others,400.0,1,Built-up  Area,0.0,1.0,35.0
Kasavanhalli,4000.0,4,Super built-up  Area,2.0,4.0,325.0
Hebbal,3900.0,4,Super built-up  Area,2.0,4.0,410.0
Old Madras Road,1300.0,2,Super built-up  Area,2.0,2.0,100.0
Raja Rajeshwari Nagar,1419.0,2,Super built-up  Area,1.0,2.0,60.42
others,1310.0,3,Super built-up  Area,1.0,2.0,55.0
Thigalarapalya,2072.0,3,Super built-up  Area,2.0,4.0,152.0
Kaggadasapura,1240.0,2,Built-up  Area,1.0,2.0,58.58
Chamrajpet,1565.0,3,Built-up  Area,2.0,3.0,98.91
Budigere,1820.0,3,Super built-up  Area,2.0,3.0,89.0
Gubbalala,2500.0,3,Plot  Area,1.0,3.0,88.0
Hosa Road,1245.0,2,Super built-up  Area,1.0,2.0,62.0
GM Palaya,1315.0,3,Super built-up  Area,1.0,3.0,65.0
Kenchenahalli,1410.0,3,Super built-up  Area,2.0,2.0,73.0
Dasarahalli,1375.0,2,Super built-up  Area,1.0,2.0,60.0
Old Madras Road,1299.0,2,Super built-up  Area,2.0,2.0,95.0
others,993.0,2,Super built-up  Area,3.0,2.0,45.5
Bommasandra Industrial Area,1200.0,2,Plot  Area,0.0,3.0,45.0
others,985.0,2,Super built-up  Area,1.0,2.0,156.0
others,2400.0,4,Built-up  Area,3.0,5.0,180.0
Hoodi,1655.0,3,Super built-up  Area,2.0,3.0,131.0
Whitefield,2830.0,4,Super built-up  Area,3.0,5.0,190.0
others,6000.0,1,Super built-up  Area,1.0,1.0,276.0
Electronic City,550.0,2,Built-up  Area,1.0,1.0,15.0
others,825.0,1,Super built-up  Area,1.0,2.0,40.0
Begur Road,1634.0,3,Super built-up  Area,1.0,3.0,111.0
Kogilu,1200.0,8,Plot  Area,3.0,6.0,105.0
Banaswadi,1222.0,2,Super built-up  Area,2.0,2.0,80.0
Gottigere,1500.0,3,Super built-up  Area,2.0,3.0,63.0
Akshaya Nagar,1890.0,3,Super built-up  Area,2.0,4.0,100.0
Hegde Nagar,3750.0,4,Built-up  Area,2.0,6.0,375.0
Hulimavu,850.0,2,Super built-up  Area,1.0,1.0,39.5
Whitefield,1295.0,2,Super built-up  Area,3.0,2.0,78.5
Sarjapur  Road,1320.0,2,Super built-up  Area,1.0,2.0,100.0
others,950.0,4,Built-up  Area,3.0,3.0,179.0
Hebbal,1200.0,4,Plot  Area,2.0,4.0,225.0
2nd Stage Nagarbhavi,3000.0,4,Built-up  Area,3.0,3.0,170.0
Harlur,1197.0,2,Built-up  Area,1.0,2.0,82.0
others,1320.0,3,Super built-up  Area,3.0,2.0,60.0
Billekahalli,1180.0,5,Plot  Area,2.0,5.0,98.5
Whitefield,840.0,1,Super built-up  Area,1.0,1.0,57.6
Whitefield,910.0,1,Super built-up  Area,0.0,1.0,19.83
Raja Rajeshwari Nagar,1693.0,3,Super built-up  Area,1.0,3.0,71.38
Kodihalli,1000.0,2,Super built-up  Area,1.0,2.0,62.0
Babusapalaya,1305.0,2,Built-up  Area,1.0,2.0,70.0
Kodichikkanahalli,450.0,1,Built-up  Area,1.0,1.0,18.0
CV Raman Nagar,705.0,1,Super built-up  Area,1.0,1.0,57.0
others,750.0,4,Super built-up  Area,2.0,6.0,75.0
Tumkur Road,4800.0,5,Built-up  Area,2.0,5.0,150.0
Gubbalala,5000.0,4,Plot  Area,3.0,4.0,425.0
Whitefield,1991.0,3,Built-up  Area,2.0,3.0,104.0
Battarahalli,1779.0,3,Super built-up  Area,2.0,3.0,90.0
Whitefield,10200.0,4,Plot  Area,1.0,4.0,1250.0
Banaswadi,870.0,2,Super built-up  Area,2.0,2.0,38.0
Thanisandra,1595.0,3,Super built-up  Area,2.0,3.0,120.0
Ramamurthy Nagar,945.0,4,Plot  Area,2.0,5.0,120.0
others,2400.0,6,Plot  Area,2.0,4.0,420.0
Iblur Village,2000.0,3,Super built-up  Area,2.0,4.0,138.0
Yelahanka,1614.0,3,Super built-up  Area,2.0,3.0,93.0
Gottigere,1200.0,2,Super built-up  Area,3.0,2.0,40.0
Electronic City Phase II,1150.0,3,Built-up  Area,3.0,3.0,46.0
Sonnenahalli,1610.0,3,Super built-up  Area,2.0,3.0,80.48
Whitefield,1190.0,2,Super built-up  Area,2.0,2.0,41.0
others,1050.0,2,Super built-up  Area,2.0,2.0,50.0
others,4800.0,4,Plot  Area,2.0,5.0,420.0
7th Phase JP Nagar,1460.0,3,Super built-up  Area,1.0,2.0,97.0
others,3400.0,3,Super built-up  Area,3.0,3.0,400.0
others,600.0,1,Plot  Area,0.0,1.0,33.0
others,1569.0,3,Built-up  Area,0.0,3.0,70.0
others,2600.0,3,Built-up  Area,2.0,3.0,147.0
Electronics City Phase 1,645.0,1,Super built-up  Area,0.0,1.0,42.5
others,1200.0,4,Plot  Area,1.0,3.0,180.0
Nagarbhavi,800.0,3,Plot  Area,0.0,3.0,95.0
Mico Layout,800.0,2,Built-up  Area,1.0,2.0,80.0
Marathahalli,1350.0,2,Super built-up  Area,1.0,2.0,90.0
BTM 2nd Stage,2780.0,3,Super built-up  Area,1.0,4.0,325.0
others,1410.0,3,Super built-up  Area,2.0,2.0,45.12
Whitefield,1109.0,2,Super built-up  Area,1.0,2.0,35.47
others,2000.0,4,Super built-up  Area,2.0,3.0,1063.0
others,800.0,1,Built-up  Area,0.0,1.0,72.0
Bannerghatta Road,1215.0,2,Super built-up  Area,1.0,2.0,68.0
Basaveshwara Nagar,1230.0,8,Plot  Area,0.0,6.0,250.0
Prithvi Layout,2273.0,3,Built-up  Area,2.0,4.0,192.0
Varthur Road,1255.0,2,Super built-up  Area,2.0,2.0,52.76
others,1020.0,2,Super built-up  Area,1.0,2.0,49.0
others,1225.0,3,Super built-up  Area,2.0,2.0,82.0
Singasandra,1120.0,2,Super built-up  Area,1.0,2.0,60.0
others,2400.0,5,Plot  Area,3.0,5.0,625.0
Kasavanhalli,1225.0,3,Super built-up  Area,1.0,2.0,69.0
Whitefield,5200.0,4,Plot  Area,3.0,5.0,242.0
Indira Nagar,4000.0,4,Built-up  Area,1.0,4.0,700.0
Sarjapur  Road,1984.0,3,Super built-up  Area,1.0,4.0,145.0
Old Madras Road,2425.0,3,Super built-up  Area,1.0,3.0,197.0
Bommasandra,1127.0,2,Super built-up  Area,1.0,2.0,45.0
Whitefield,1655.0,3,Built-up  Area,2.0,3.0,97.0
Varthur,1200.0,3,Plot  Area,1.0,3.0,68.38
Kaggadasapura,1000.0,2,Super built-up  Area,2.0,2.0,43.0
CV Raman Nagar,1225.0,2,Super built-up  Area,2.0,2.0,47.88
Hormavu,1350.0,2,Super built-up  Area,2.0,2.0,45.0
Nagarbhavi,600.0,4,Plot  Area,3.0,5.0,95.0
Sahakara Nagar,1175.0,2,Super built-up  Area,3.0,2.0,49.0
others,655.0,1,Super built-up  Area,2.0,1.0,27.0
Hosa Road,1311.0,3,Super built-up  Area,1.0,2.0,84.86
Banashankari Stage VI,600.0,3,Plot  Area,0.0,4.0,90.0
CV Raman Nagar,1000.0,2,Carpet  Area,1.0,2.0,38.5
others,1196.0,2,Super built-up  Area,1.0,2.0,96.0
Kanakpura Road,1050.0,3,Built-up  Area,1.0,2.0,59.0
Somasundara Palya,1275.0,3,Super built-up  Area,2.0,2.0,52.0
others,927.0,2,Carpet  Area,1.0,2.0,50.0
Varthur,1520.0,3,Super built-up  Area,3.0,2.0,61.0
others,2400.0,4,Plot  Area,2.0,5.0,395.0
Hebbal,1333.0,2,Built-up  Area,1.0,2.0,104.0
others,600.0,1,Super built-up  Area,0.0,1.0,18.0
Abbigere,1326.0,3,Super built-up  Area,1.0,2.0,34.8
Koramangala,1370.0,2,Built-up  Area,2.0,2.0,125.0
Koramangala,1100.0,2,Super built-up  Area,2.0,2.0,85.0
Haralur Road,1650.0,3,Super built-up  Area,3.0,3.0,100.0
Kasavanhalli,1917.0,3,Super built-up  Area,2.0,3.0,132.0
Billekahalli,950.0,2,Super built-up  Area,1.0,2.0,58.11
others,1175.0,2,Super built-up  Area,1.0,2.0,48.72
8th Phase JP Nagar,1089.0,2,Super built-up  Area,1.0,2.0,43.55
Kalena Agrahara,1804.0,3,Super built-up  Area,2.0,3.0,175.0
Hoodi,1257.0,2,Super built-up  Area,1.0,2.0,68.5
