area_type,balcony,location,size,total_sqft,bath,price
Super built-up  Area,1.0,Kammasandra,1,610.0,1.0,18.5
Built-up  Area,3.0,Kanakapura,3,1419.0,3.0,75.0
Super built-up  Area,1.0,Kanakapura,1,711.0,1.0,36.0
Super built-up  Area,1.0,Kanakapura,1,711.0,1.0,38.0
Super built-up  Area,1.0,Kanakapura,2,929.0,2.0,46.0
Super built-up  Area,1.0,Kanakapura,1,551.0,1.0,30.0
Super built-up  Area,1.0,Kanakapura,2,1020.0,2.0,42.83
Super built-up  Area,3.0,Kanakapura,3,1699.0,3.0,97.0
Super built-up  Area,1.0,Kanakapura,2,1130.0,2.0,45.2
Super built-up  Area,1.0,Kanakapura,3,1476.0,3.0,75.0
Super built-up  Area,2.0,Kanakapura,2,1295.0,2.0,64.0
Super built-up  Area,1.0,Kanakapura,2,1160.0,2.0,46.39
Super built-up  Area,2.0,Kanakapura,2,1277.0,2.0,55.0
Super built-up  Area,1.0,Kanakapura,2,1151.0,2.0,59.0
Super built-up  Area,2.0,Kanakapura,2,1110.0,2.0,38.85
Super built-up  Area,1.0,Kanakapura,2,945.0,2.0,47.0
Super built-up  Area,2.0,Kanakapura,3,1254.0,2.0,70.0
Built-up  Area,1.0,Kanakapura,3,2200.0,3.0,121.0
Built-up  Area,2.0,Kanakapura,2,1340.0,2.0,65.0
Super built-up  Area,1.0,Kanakapura,3,1450.0,3.0,75.0
Super built-up  Area,2.0,Kanakapura,2,1090.0,2.0,38.15
Super built-up  Area,2.0,Kanakapura,2,1283.0,2.0,68.0
Built-up  Area,0.0,Kanakapura,4,2130.0,4.0,120.0
Super built-up  Area,2.0,Kanakapura,2,1120.0,2.0,39.2
Super built-up  Area,1.0,Kanakapura,1,938.0,1.0,50.0
Super built-up  Area,1.0,Kanakapura,3,1489.0,2.0,70.0
Super built-up  Area,1.0,Kanakapura,3,1477.0,2.0,69.5
Super built-up  Area,1.0,Kanakpura Road,2,700.0,2.0,36.0
Super built-up  Area,2.0,Kanakpura Road,3,1665.0,3.0,88.0
Built-up  Area,1.0,Kanakpura Road,2,950.0,2.0,57.0
Built-up  Area,1.0,Kanakpura Road,4,2250.0,4.0,110.0
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,26.0
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,27.25
Super built-up  Area,1.0,Kanakpura Road,3,1100.0,2.0,58.0
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,30.0
Super built-up  Area,3.0,Kanakpura Road,2,1339.0,2.0,75.0
Super built-up  Area,2.0,Kanakpura Road,3,1100.0,3.0,58.0
Super built-up  Area,2.0,Kanakpura Road,3,1843.0,3.0,95.84
Super built-up  Area,3.0,Kanakpura Road,2,1290.0,2.0,74.0
Super built-up  Area,2.0,Kanakpura Road,3,1665.0,3.0,86.58
Super built-up  Area,3.0,Kanakpura Road,3,1542.0,2.0,85.0
Super built-up  Area,3.0,Kanakpura Road,3,1300.0,2.0,69.0
Super built-up  Area,1.0,Kanakpura Road,2,900.0,2.0,46.0
Super built-up  Area,2.0,Kanakpura Road,2,1495.0,2.0,90.0
Super built-up  Area,2.0,Kanakpura Road,2,1135.0,2.0,58.0
Super built-up  Area,2.0,Kanakpura Road,3,1420.0,2.0,75.0
Super built-up  Area,1.0,Kanakpura Road,2,983.0,2.0,50.6
Plot  Area,2.0,Kanakpura Road,3,1500.0,3.0,97.0
Super built-up  Area,1.0,Kanakpura Road,2,1366.0,3.0,76.85
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,25.0
Super built-up  Area,2.0,Kanakpura Road,3,2265.0,3.0,136.0
Plot  Area,2.0,Kanakpura Road,3,2200.0,3.0,130.0
Super built-up  Area,2.0,Kanakpura Road,2,1051.0,2.0,56.74
Super built-up  Area,2.0,Kanakpura Road,3,1300.0,3.0,69.0
Super built-up  Area,1.0,Kanakpura Road,2,700.0,2.0,40.0
Super built-up  Area,3.0,Kanakpura Road,3,1700.0,3.0,88.0
Plot  Area,1.0,Kanakpura Road,4,2775.0,3.0,165.0
Plot  Area,1.0,Kanakpura Road,3,1900.0,3.0,99.0
Super built-up  Area,3.0,Kanakpura Road,2,1290.0,2.0,80.0
Super built-up  Area,2.0,Kanakpura Road,3,1868.0,3.0,113.0
Super built-up  Area,1.0,Kanakpura Road,2,1366.0,2.0,83.0
Super built-up  Area,2.0,Kanakpura Road,2,1339.0,2.0,71.5
Super built-up  Area,1.0,Kanakpura Road,1,670.0,1.0,35.0
Super built-up  Area,2.0,Kanakpura Road,3,1498.0,3.0,95.0
Super built-up  Area,2.0,Kanakpura Road,3,1665.0,3.0,86.91
Super built-up  Area,1.0,Kanakpura Road,1,712.0,1.0,38.44
Super built-up  Area,3.0,Kanakpura Road,3,1507.0,2.0,95.0
Super built-up  Area,2.0,Kanakpura Road,2,1339.0,2.0,85.0
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,27.0
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,27.5
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,26.25
Built-up  Area,1.0,Kanakpura Road,3,1050.0,2.0,59.0
Carpet  Area,3.0,Kanakpura Road,3,1600.0,3.0,90.0
Super built-up  Area,2.0,Kanakpura Road,3,1100.0,3.0,56.57
Super built-up  Area,2.0,Kanakpura Road,3,1843.0,3.0,96.2
Built-up  Area,2.0,Kanakpura Road,2,1240.0,2.0,65.0
Super built-up  Area,1.0,Kanakpura Road,2,700.0,2.0,41.0
Super built-up  Area,1.0,Kanakpura Road,2,700.0,1.0,41.0
Super built-up  Area,1.0,Kanakpura Road,3,1100.0,3.0,58.0
Built-up  Area,1.0,Kanakpura Road,2,1140.0,2.0,65.0
Super built-up  Area,1.0,Kanakpura Road,1,525.0,1.0,26.01
Built-up  Area,3.0,Kanakpura Road,2,1322.0,2.0,70.0
Super built-up  Area,1.0,Kanakpura Road,2,1698.0,2.0,105.0
Carpet  Area,0.0,Kanakpura Road,1,648.5,1.0,33.66
Super built-up  Area,1.0,Kanakpura Road,3,1300.0,3.0,69.0
Super built-up  Area,1.0,Kanakpura Road,2,1167.0,2.0,63.0
Super built-up  Area,2.0,Kanakpura Road,2,1430.0,2.0,78.0
Built-up  Area,3.0,Kanakpura Road,3,2000.0,3.0,105.0
Plot  Area,0.0,Kanakpura Road,2,1200.0,2.0,62.0
Super built-up  Area,2.0,Kanakpura Road,3,1843.0,3.0,95.0
Super built-up  Area,1.0,Kanakpura Road,2,900.0,2.0,46.29
Super built-up  Area,1.0,Kanakpura Road,1,850.0,1.0,37.32
Super built-up  Area,3.0,Kanakpura Road,3,1938.0,3.0,105.0
Super built-up  Area,2.0,Kanakpura Road,2,700.0,2.0,36.0
Super built-up  Area,1.0,Kannamangala,2,957.0,2.0,58.0
Built-up  Area,1.0,Kannamangala,2,957.0,2.0,56.0
Built-up  Area,0.0,Kannamangala,4,3000.0,4.0,200.0
Super built-up  Area,1.0,Kannamangala,3,1536.0,3.0,89.0
Plot  Area,1.0,Kannamangala,4,2400.0,4.0,130.0
Super built-up  Area,1.0,Kannamangala,3,1574.0,3.0,93.34
Built-up  Area,0.0,Kannamangala,2,957.0,2.0,52.5
Super built-up  Area,1.0,Kannamangala,3,1536.0,3.0,104.0
Super built-up  Area,2.0,Kannamangala,2,957.0,2.0,54.5
Super built-up  Area,3.0,Kannamangala,4,2422.0,4.0,135.0
Super built-up  Area,1.0,Kannamangala,2,957.0,2.0,55.0
Built-up  Area,2.0,Kannamangala,2,957.0,2.0,56.0
Built-up  Area,2.0,Karuna Nagar,3,2500.0,3.0,180.0
Plot  Area,2.0,Karuna Nagar,3,2500.0,3.0,190.0
Built-up  Area,2.0,Karuna Nagar,3,1962.0,3.0,175.0
Super built-up  Area,1.0,Karuna Nagar,2,1057.0,2.0,65.0
Super built-up  Area,1.0,Karuna Nagar,3,1354.0,2.0,98.0
Super built-up  Area,3.0,Karuna Nagar,3,1945.0,3.0,115.0
Super built-up  Area,2.0,Karuna Nagar,3,1960.0,3.0,165.0
Super built-up  Area,2.0,Kasavanhalli,2,1060.0,2.0,58.06
Super built-up  Area,1.0,Kasavanhalli,3,1563.05,3.0,105.0
Built-up  Area,3.0,Kasavanhalli,3,1717.0,3.0,99.0
Built-up  Area,1.0,Kasavanhalli,4,3260.0,4.0,240.0
Super built-up  Area,2.0,Kasavanhalli,2,1349.0,2.0,78.0
Super built-up  Area,2.0,Kasavanhalli,2,1121.0,2.0,78.0
Built-up  Area,1.0,Kasavanhalli,2,1100.0,2.0,50.0
Super built-up  Area,1.0,Kasavanhalli,2,1200.0,2.0,78.0
Super built-up  Area,0.0,Kasavanhalli,3,1476.0,3.0,89.0
Built-up  Area,2.0,Kasavanhalli,3,1719.0,3.0,116.0
Super built-up  Area,2.0,Kasavanhalli,2,1115.0,2.0,50.0
Super built-up  Area,1.0,Kasavanhalli,2,1125.0,2.0,61.2
Super built-up  Area,2.0,Kasavanhalli,3,2170.0,3.0,151.0
Super built-up  Area,1.0,Kasavanhalli,3,1476.0,3.0,95.0
Super built-up  Area,2.0,Kasavanhalli,3,1787.0,3.0,123.0
Super built-up  Area,2.0,Kasavanhalli,2,1090.0,2.0,59.8
Super built-up  Area,2.0,Kasavanhalli,3,1691.0,3.0,104.0
Super built-up  Area,3.0,Kasavanhalli,4,4260.0,4.0,272.0
Super built-up  Area,1.0,Kasavanhalli,1,770.0,1.0,43.82
Super built-up  Area,1.0,Kasavanhalli,2,1147.0,2.0,60.0
Super built-up  Area,2.0,Kasavanhalli,2,1375.0,2.0,72.0
Super built-up  Area,2.0,Kasavanhalli,2,1200.0,2.0,60.0
Built-up  Area,2.0,Kasavanhalli,2,1495.0,2.0,83.0
Super built-up  Area,2.0,Kasavanhalli,3,1917.0,3.0,132.0
Super built-up  Area,1.0,Kasavanhalli,2,1375.0,2.0,78.0
Super built-up  Area,2.0,Kasavanhalli,2,1309.0,2.0,95.0
Super built-up  Area,0.0,Kasavanhalli,3,1476.0,3.0,105.0
Super built-up  Area,2.0,Kasavanhalli,2,1158.0,2.0,67.0
Super built-up  Area,3.0,Kasavanhalli,2,1214.0,2.0,67.0
Super built-up  Area,2.0,Kasavanhalli,2,1495.0,2.0,110.0
Super built-up  Area,3.0,Kasavanhalli,2,1575.0,2.0,85.0
Super built-up  Area,2.0,Kasavanhalli,2,1069.0,2.0,55.0
Super built-up  Area,1.0,Kasavanhalli,2,1100.0,2.0,68.0
Super built-up  Area,3.0,Kasavanhalli,3,1715.0,3.0,112.0
Super built-up  Area,1.0,Kasavanhalli,2,1100.0,2.0,65.0
Super built-up  Area,2.0,Kasavanhalli,2,1230.0,2.0,66.25
Built-up  Area,2.0,Kasavanhalli,2,1585.0,2.0,90.0
Super built-up  Area,2.0,Kasavanhalli,2,1245.0,2.0,80.0
Super built-up  Area,2.0,Kasavanhalli,3,2035.0,3.0,142.0
Super built-up  Area,1.0,Kasavanhalli,3,1747.0,3.0,110.0
Super built-up  Area,2.0,Kasavanhalli,2,1377.0,2.0,80.0
Super built-up  Area,1.0,Kasavanhalli,2,1181.0,2.0,61.0
Built-up  Area,2.0,Kasavanhalli,2,1121.0,2.0,75.0
Super built-up  Area,2.0,Kasturi Nagar,2,1567.0,2.0,92.0
Super built-up  Area,2.0,Kasturi Nagar,2,1080.0,2.0,80.0
Super built-up  Area,2.0,Kasturi Nagar,2,1101.0,2.0,65.0
Super built-up  Area,1.0,Kasturi Nagar,4,1896.0,3.0,125.0
Super built-up  Area,2.0,Kasturi Nagar,2,1100.0,2.0,58.0
Super built-up  Area,2.0,Kasturi Nagar,3,1570.0,3.0,110.0
Super built-up  Area,0.0,Kasturi Nagar,2,1000.0,2.0,58.0
Super built-up  Area,2.0,Kasturi Nagar,2,1101.0,2.0,66.0
Super built-up  Area,2.0,Kasturi Nagar,4,2507.0,4.0,155.0
Super built-up  Area,2.0,Kathriguppe,3,1400.0,2.0,77.0
Super built-up  Area,1.0,Kathriguppe,3,1250.0,2.0,68.75
Super built-up  Area,2.0,Kathriguppe,3,1245.0,2.0,68.48
Super built-up  Area,1.0,Kathriguppe,3,1350.0,2.0,87.01
Super built-up  Area,2.0,Kathriguppe,3,1350.0,2.0,80.99
Super built-up  Area,2.0,Kathriguppe,3,1365.0,2.0,75.08
Super built-up  Area,2.0,Kathriguppe,3,1300.0,3.0,77.99
Super built-up  Area,1.0,Kathriguppe,3,1350.0,2.0,80.99
Super built-up  Area,2.0,Kathriguppe,3,1390.0,2.0,76.45
Super built-up  Area,3.0,Kathriguppe,3,1350.0,3.0,78.3
Super built-up  Area,2.0,Kathriguppe,3,1250.0,2.0,68.75
Super built-up  Area,3.0,Kathriguppe,3,1335.0,2.0,73.43
Super built-up  Area,3.0,Kathriguppe,3,1300.0,3.0,77.99
Super built-up  Area,2.0,Kathriguppe,3,1335.0,2.0,73.43
Super built-up  Area,2.0,Kathriguppe,3,1350.0,3.0,80.99
Super built-up  Area,1.0,Kathriguppe,2,1250.0,2.0,68.75
Super built-up  Area,2.0,Kaval Byrasandra,2,1200.0,2.0,52.0
Built-up  Area,1.0,Kaval Byrasandra,2,1020.0,2.0,52.0
Super built-up  Area,1.0,Kaval Byrasandra,2,1200.0,2.0,49.5
Built-up  Area,2.0,Kaval Byrasandra,2,945.0,2.0,50.0
Built-up  Area,2.0,Kaval Byrasandra,2,1060.0,2.0,45.0
Built-up  Area,1.0,Kaval Byrasandra,2,1100.0,2.0,46.0
Built-up  Area,1.0,Kaval Byrasandra,2,1185.0,2.0,49.0
Super built-up  Area,3.0,Kaval Byrasandra,2,997.0,2.0,53.0
Super built-up  Area,2.0,Kaval Byrasandra,2,1060.0,2.0,42.0
Built-up  Area,1.0,Kaval Byrasandra,1,480.0,1.0,25.0
Super built-up  Area,1.0,Kaval Byrasandra,2,1125.0,2.0,41.5
Built-up  Area,2.0,Kaval Byrasandra,2,1180.0,2.0,60.0
Super built-up  Area,2.0,Kaval Byrasandra,3,1450.0,3.0,75.0
Built-up  Area,3.0,Kaval Byrasandra,2,1066.0,2.0,55.0
Super built-up  Area,1.0,Kaval Byrasandra,2,1025.0,2.0,60.0
Super built-up  Area,2.0,Kaval Byrasandra,3,1400.0,3.0,75.0
Super built-up  Area,2.0,Kenchenahalli,2,1015.0,2.0,58.0
Super built-up  Area,2.0,Kenchenahalli,2,1150.0,2.0,58.0
Super built-up  Area,2.0,Kenchenahalli,3,1280.0,2.0,69.0
Super built-up  Area,2.0,Kenchenahalli,3,1410.0,2.0,73.0
Super built-up  Area,1.0,Kenchenahalli,2,870.0,1.0,45.0
Super built-up  Area,2.0,Kenchenahalli,2,1150.0,2.0,60.0
Super built-up  Area,1.0,Kenchenahalli,1,700.0,1.0,35.0
Super built-up  Area,2.0,Kenchenahalli,2,1060.0,2.0,52.0
Super built-up  Area,2.0,Kenchenahalli,2,1150.0,2.0,57.0
Super built-up  Area,1.0,Kengeri,2,750.0,2.0,38.0
Super built-up  Area,2.0,Kengeri,2,1197.0,2.0,50.0
Super built-up  Area,0.0,Kengeri,2,1200.0,2.0,58.0
Super built-up  Area,1.0,Kengeri,2,726.0,2.0,31.0
Super built-up  Area,2.0,Kengeri,2,1025.0,2.0,57.0
Built-up  Area,1.0,Kengeri,3,1082.0,2.0,49.0
Built-up  Area,1.0,Kengeri,2,750.0,2.0,36.0
Built-up  Area,2.0,Kengeri,2,963.0,2.0,40.0
Super built-up  Area,1.0,Kengeri,2,726.0,2.0,35.0
Super built-up  Area,1.0,Kengeri,1,416.0,1.0,19.5
Super built-up  Area,2.0,Kengeri,2,900.0,2.0,45.0
Built-up  Area,1.0,Kengeri,1,502.0,1.0,25.0
Plot  Area,1.0,Kengeri,3,1200.0,3.0,67.0
Super built-up  Area,1.0,Kengeri,2,725.0,2.0,30.0
Built-up  Area,1.0,Kengeri,1,500.0,1.0,17.0
Super built-up  Area,1.0,Kengeri,1,540.0,1.0,22.5
Super built-up  Area,1.0,Kengeri,2,750.0,2.0,35.5
Super built-up  Area,2.0,Kengeri,3,1741.0,3.0,80.0
Plot  Area,0.0,Kengeri,2,1200.0,2.0,58.0
Super built-up  Area,1.0,Kengeri,2,750.0,2.0,36.5
Super built-up  Area,1.0,Kengeri,1,416.0,1.0,18.0
Built-up  Area,0.0,Kengeri,2,883.0,2.0,49.0
Super built-up  Area,2.0,Kengeri,2,1052.0,2.0,51.0
Super built-up  Area,2.0,Kengeri,2,1220.0,2.0,63.0
Plot  Area,0.0,Kengeri,1,1150.0,1.0,52.0
Super built-up  Area,2.0,Kengeri,2,1192.0,2.0,53.5
Super built-up  Area,1.0,Kengeri,2,750.0,2.0,40.0
Super built-up  Area,1.0,Kengeri,2,1035.0,2.0,51.5
Built-up  Area,1.0,Kengeri,1,410.0,1.0,15.0
Super built-up  Area,1.0,Kengeri,1,416.0,1.0,17.19
Built-up  Area,3.0,Kengeri,5,2500.0,4.0,100.0
Built-up  Area,1.0,Kengeri,1,550.0,1.0,16.75
Super built-up  Area,1.0,Kengeri Satellite Town,2,890.0,2.0,35.0
Built-up  Area,1.0,Kengeri Satellite Town,2,883.0,2.0,45.0
Super built-up  Area,3.0,Kengeri Satellite Town,3,1415.0,2.0,66.0
Super built-up  Area,1.0,Kengeri Satellite Town,1,930.0,1.0,30.0
Super built-up  Area,2.0,Kengeri Satellite Town,2,1050.0,2.0,43.0
Super built-up  Area,3.0,Kengeri Satellite Town,2,1007.0,2.0,42.0
Super built-up  Area,1.0,Kengeri Satellite Town,2,635.0,1.0,22.0
Super built-up  Area,1.0,Kengeri Satellite Town,2,818.0,2.0,26.0
Built-up  Area,2.0,Kengeri Satellite Town,2,1030.0,2.0,50.0
Super built-up  Area,2.0,Kengeri Satellite Town,2,795.0,2.0,32.0
Built-up  Area,1.0,Kengeri Satellite Town,2,800.0,2.0,40.0
Super built-up  Area,1.0,Kengeri Satellite Town,1,654.0,1.0,22.0
Super built-up  Area,3.0,Kengeri Satellite Town,2,1060.0,2.0,42.0
Super built-up  Area,1.0,Kengeri Satellite Town,2,750.0,2.0,33.0
Super built-up  Area,3.0,Kengeri Satellite Town,2,920.0,2.0,39.0
Super built-up  Area,2.0,Kengeri Satellite Town,2,985.0,2.0,42.0
Super built-up  Area,1.0,Kengeri Satellite Town,1,410.0,1.0,15.0
Super built-up  Area,2.0,Kengeri Satellite Town,2,1120.0,2.0,49.0
Built-up  Area,1.0,Kengeri Satellite Town,2,1110.0,2.0,43.0
Built-up  Area,3.0,Kengeri Satellite Town,2,1170.0,2.0,50.0
Super built-up  Area,0.0,Kengeri Satellite Town,2,777.4,2.0,25.0
Built-up  Area,1.0,Kengeri Satellite Town,2,800.0,2.0,32.0
Built-up  Area,1.0,Kereguddadahalli,2,950.0,2.0,32.0
Built-up  Area,2.0,Kereguddadahalli,3,1400.0,2.0,48.0
Built-up  Area,2.0,Kereguddadahalli,2,800.0,2.0,28.0
Built-up  Area,1.0,Kereguddadahalli,2,904.0,2.0,30.0
Super built-up  Area,2.0,Kereguddadahalli,2,1000.0,2.0,30.0
Built-up  Area,2.0,Kereguddadahalli,3,1240.0,3.0,41.0
Built-up  Area,1.0,Kereguddadahalli,1,600.0,1.0,19.5
Built-up  Area,2.0,Kereguddadahalli,2,1080.0,2.0,32.0
Super built-up  Area,1.0,Kereguddadahalli,2,1000.0,2.0,34.0
Super built-up  Area,1.0,Kereguddadahalli,2,1015.0,2.0,35.0
Super built-up  Area,2.0,Kodichikkanahalli,3,1190.0,2.0,57.0
Built-up  Area,1.0,Kodichikkanahalli,2,995.0,2.0,41.0
Super built-up  Area,2.0,Kodichikkanahalli,3,1495.0,2.0,75.0
Super built-up  Area,1.0,Kodichikkanahalli,2,1125.0,2.0,52.0
Built-up  Area,3.0,Kodichikkanahalli,2,1150.0,2.0,48.0
Super built-up  Area,3.0,Kodichikkanahalli,2,1070.0,2.0,43.0
Super built-up  Area,2.0,Kodichikkanahalli,3,1620.0,2.0,85.0
Super built-up  Area,1.0,Kodichikkanahalli,2,1026.0,2.0,45.0
Built-up  Area,1.0,Kodichikkanahalli,1,450.0,1.0,18.0
Super built-up  Area,2.0,Kodichikkanahalli,2,907.0,2.0,38.5
Super built-up  Area,2.0,Kodichikkanahalli,2,1181.0,2.0,57.0
Super built-up  Area,1.0,Kodichikkanahalli,2,900.0,2.0,42.0
Super built-up  Area,3.0,Kodichikkanahalli,3,1400.0,3.0,66.0
Super built-up  Area,1.0,Kodichikkanahalli,2,976.0,2.0,50.0
Built-up  Area,2.0,Kodichikkanahalli,5,2700.0,4.0,125.0
Super built-up  Area,3.0,Kodichikkanahalli,2,1299.0,2.0,58.0
Super built-up  Area,1.0,Kodichikkanahalli,2,900.0,2.0,35.0
Built-up  Area,2.0,Kodigehaali,2,1166.0,2.0,55.0
Built-up  Area,0.0,Kodigehaali,3,1320.0,3.0,65.0
Super built-up  Area,2.0,Kodigehaali,2,1117.0,2.0,56.0
Super built-up  Area,1.0,Kodigehaali,2,1200.0,2.0,55.0
Super built-up  Area,2.0,Kodigehaali,2,1200.0,2.0,60.0
Super built-up  Area,1.0,Kodigehaali,2,1013.0,2.0,51.0
Super built-up  Area,2.0,Kodigehaali,3,1324.0,3.0,65.0
Super built-up  Area,1.0,Kodigehaali,2,965.0,2.0,38.0
Built-up  Area,2.0,Kodigehaali,2,866.0,2.0,32.0
Built-up  Area,2.0,Kodigehaali,3,1442.0,3.0,80.0
Super built-up  Area,3.0,Kodihalli,4,3252.0,5.0,335.0
Super built-up  Area,1.0,Kodihalli,3,2700.0,4.0,270.0
Super built-up  Area,2.0,Kodihalli,3,2392.0,4.0,260.0
Super built-up  Area,2.0,Kodihalli,3,2408.0,4.0,260.0
Super built-up  Area,1.0,Kodihalli,3,2500.0,4.0,260.0
Built-up  Area,2.0,Kodihalli,3,1620.0,3.0,130.0
Super built-up  Area,3.0,Kodihalli,4,3260.0,5.0,388.0
Super built-up  Area,2.0,Kodihalli,4,3197.0,5.0,335.0
Built-up  Area,1.0,Kodihalli,2,1490.0,2.0,150.0
Super built-up  Area,2.0,Kogilu,3,1909.0,3.0,88.0
Super built-up  Area,1.0,Kogilu,2,1170.0,2.0,51.99
Built-up  Area,0.0,Kogilu,2,650.0,2.0,28.0
Super built-up  Area,1.0,Kogilu,2,1140.0,2.0,50.66
Super built-up  Area,1.0,Kogilu,2,1200.0,2.0,53.33
Super built-up  Area,2.0,Kogilu,3,1934.0,3.0,150.0
Built-up  Area,0.0,Kogilu,1,540.0,1.0,36.0
Super built-up  Area,2.0,Kogilu,3,1559.0,3.0,127.0
Super built-up  Area,2.0,Kogilu,2,1190.0,2.0,50.66
Super built-up  Area,2.0,Kogilu,2,1140.0,2.0,50.66
Super built-up  Area,2.0,Kogilu,3,1559.0,3.0,120.0
Super built-up  Area,1.0,Kogilu,1,700.0,1.0,30.84
Super built-up  Area,1.0,Kogilu,2,1250.0,2.0,55.55
Built-up  Area,2.0,Kogilu,2,952.0,2.0,49.0
Plot  Area,2.0,Kogilu,7,2456.0,7.0,85.0
Super built-up  Area,1.0,Konanakunte,3,2791.0,3.0,223.0
Built-up  Area,0.0,Konanakunte,2,884.0,1.0,58.0
Super built-up  Area,1.0,Konanakunte,3,1400.0,2.0,73.0
Super built-up  Area,3.0,Konanakunte,4,3000.0,4.0,160.0
Plot  Area,3.0,Konanakunte,3,2400.0,2.0,180.0
Super built-up  Area,2.0,Konanakunte,3,1423.0,2.0,85.0
Super built-up  Area,1.0,Koramangala,2,1320.0,2.0,165.0
Super built-up  Area,1.0,Koramangala,2,1253.0,2.0,102.0
Super built-up  Area,2.0,Koramangala,3,1580.0,3.0,160.0
Super built-up  Area,2.0,Koramangala,4,3500.0,5.0,425.0
Super built-up  Area,1.0,Koramangala,2,1005.0,1.0,110.0
Super built-up  Area,1.0,Koramangala,3,2292.0,4.0,275.0
Super built-up  Area,3.0,Koramangala,2,1290.0,2.0,100.0
Super built-up  Area,3.0,Koramangala,2,1300.0,2.0,110.0
Super built-up  Area,2.0,Koramangala,2,1325.0,2.0,119.0
Built-up  Area,1.0,Koramangala,2,1140.0,2.0,75.2
Built-up  Area,3.0,Koramangala,2,1260.0,2.0,100.0
Built-up  Area,1.0,Koramangala,2,1900.0,2.0,200.0
Super built-up  Area,2.0,Koramangala,3,2292.0,3.0,286.0
Built-up  Area,3.0,Koramangala,3,2300.0,3.0,290.0
Super built-up  Area,1.0,Koramangala,2,1320.0,2.0,150.0
Super built-up  Area,2.0,Koramangala,2,1320.0,2.0,110.0
Super built-up  Area,0.0,Koramangala,3,2246.0,3.0,300.0
Super built-up  Area,2.0,Koramangala,2,1300.0,2.0,82.0
Super built-up  Area,1.0,Koramangala,2,1083.0,2.0,100.0
Super built-up  Area,1.0,Koramangala,3,1744.0,3.0,200.0
Super built-up  Area,1.0,Koramangala,2,1180.0,2.0,128.0
Super built-up  Area,1.0,Koramangala,2,1320.0,2.0,160.0
Built-up  Area,2.0,Koramangala,2,1370.0,2.0,125.0
Super built-up  Area,2.0,Koramangala,2,1100.0,2.0,85.0
Super built-up  Area,1.0,Koramangala,2,1249.0,2.0,165.0
Built-up  Area,2.0,Koramangala,2,1200.0,2.0,100.0
Super built-up  Area,2.0,Koramangala,3,2223.0,3.0,300.0
Super built-up  Area,1.0,Koramangala,3,1744.0,4.0,210.0
Super built-up  Area,2.0,Koramangala,3,1866.0,4.0,245.0
Built-up  Area,2.0,Koramangala,2,1350.0,2.0,103.0
Built-up  Area,0.0,Koramangala,4,6000.0,4.0,625.0
Built-up  Area,2.0,Koramangala,3,1710.0,3.0,210.0
Super built-up  Area,3.0,Koramangala,3,1700.0,3.0,250.0
Built-up  Area,2.0,Koramangala,2,1355.0,2.0,95.0
Super built-up  Area,1.0,Koramangala,3,1600.0,3.0,170.0
Super built-up  Area,1.0,Koramangala,2,1260.0,2.0,100.0
Super built-up  Area,1.0,Kothannur,2,1206.0,2.0,48.23
Built-up  Area,2.0,Kothannur,2,1100.0,2.0,40.0
Super built-up  Area,1.0,Kothannur,2,1197.0,2.0,47.88
Super built-up  Area,1.0,Kothannur,2,1197.0,2.0,47.8
Super built-up  Area,1.0,Kothannur,2,1070.0,2.0,42.79
Super built-up  Area,2.0,Kothannur,2,1070.0,2.0,38.6
Super built-up  Area,2.0,Kothannur,3,1485.0,2.0,59.4
Super built-up  Area,3.0,Kothannur,3,1215.0,2.0,48.6
Super built-up  Area,1.0,Kothannur,3,1404.0,2.0,56.15
Super built-up  Area,1.0,Kothanur,2,1200.0,2.0,51.0
Plot  Area,1.0,Kothanur,3,2400.0,2.0,150.0
Super built-up  Area,2.0,Kothanur,2,1186.0,2.0,58.0
Super built-up  Area,2.0,Kothanur,3,1847.0,3.0,105.0
Plot  Area,2.0,Kothanur,5,9600.0,5.0,550.0
Super built-up  Area,3.0,Kothanur,3,1435.0,3.0,70.0
Super built-up  Area,2.0,Kothanur,2,1187.0,2.0,58.0
Super built-up  Area,2.0,Kothanur,3,1847.0,3.0,110.0
Super built-up  Area,3.0,Kothanur,3,1460.0,3.0,71.0
Super built-up  Area,2.0,Kothanur,2,1185.0,2.0,59.0
Super built-up  Area,3.0,Kothanur,3,1436.0,3.0,70.0
Super built-up  Area,3.0,Kothanur,3,1462.0,3.0,71.0
Super built-up  Area,2.0,Kothanur,3,1790.0,3.0,105.0
Super built-up  Area,1.0,Kothanur,2,1070.0,2.0,45.5
Super built-up  Area,2.0,Kothanur,2,1145.0,2.0,56.0
Built-up  Area,1.0,Kothanur,1,627.0,1.0,30.0
Super built-up  Area,1.0,Kothanur,2,1302.0,2.0,68.5
Super built-up  Area,2.0,Kothanur,2,1185.0,2.0,58.0
Plot  Area,0.0,Kothanur,1,1500.0,1.0,75.0
